Identifier,StructureData,,,,,
2VMB,,,7,"1UL PROTEIN, 1UL RESERVOIR: 12.5% PEG 400, 200MM CAOAC2, 100MM MES PH 7.0",2,38.08
3FZ9,microbatch under oil,293.15,7.5,"0.1 M Na HEPES (pH 7.5) and 20 % PEG 8000, microbatch under oil, temperature 293.15K",2.09,41.29
3P19,"VAPOR DIFFUSION, SITTING DROP",277,7.5,"0.2M sodium citrate dihydrate, 0.1M HEPES-Na, 20% iso-propanol, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",2.36,47.8
3RA7,"VAPOR DIFFUSION, HANGING DROP",298,4.6,"60%(v/v) 2-methyl-1,3-propandiol(MPD), 0.1M sodium acetate, 5mM CaCl2, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.07,59.91
4DE8,"VAPOR DIFFUSION, HANGING DROP",295,5,"0.2M diammonium citrate 15% PEG 3350, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.5,50.81
4DE9,"VAPOR DIFFUSION, HANGING DROP",295,7.5,"0.1M HEPES 20% PEG 3350 0.2M MgCl2 , pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",2.32,46.89
4PQI,"VAPOR DIFFUSION, HANGING DROP",291,8.5,"25% (w/v) PEG4000, 200 mM calcium chloride and 100 mM Tris-HCl, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",2.4,48.74
5FIA,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1 M MES pH 6.0,  MPD 40%",2.82,56.32
5O1Q,,,,,,
6L2G,"VAPOR DIFFUSION, SITTING DROP",277,,"0.1 M HEPES pH 7.0, 2 M ammonium sulphate",2.87,57.12
7CXR,,,,,,
1NFF,"VAPOR DIFFUSION, HANGING DROP",296,7,"PEG 3000, calcium acetate, Tris-HCl, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 296K",1.86,33.5
2NTK,"VAPOR DIFFUSION, HANGING DROP",295.15,5.6,"25-30% MPD, 0.2M ammonium acetate, 0.1M sodium citrate buffer, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 295.15K",2.76,55.46
2NTL,"VAPOR DIFFUSION, HANGING DROP",295.15,5.6,"25-30% MPD, 0.2M ammonium acetate, 0.1M sodium citrate buffer, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 295.15K",2.75,55.34
2NTM,"VAPOR DIFFUSION, HANGING DROP",295.15,5.6,"25-30% MPD, 0.2M ammonium acetate, 0.1M sodium citrate buffer, pH 5.6, VAPOR DIFFUSION, HANGING DROP, temperature 295.15K",2.66,53.76
3C1Q,"VAPOR DIFFUSION, SITTING DROP",293,7,"1ul protein at 10mg/ml + 1ul reservoir: 12.5% PEG 400, 200mM CaOAc2, 100mM MES pH 7.0, VAPOR DIFFUSION, SITTING DROP, temperature 293K",1.95,36.99
3D8H,"VAPOR DIFFUSION, SITTING DROP",273,7.5,"25% PEG 3350, 0.2 M NH4OAc, 0.1 M Hepes pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 273K",2.4,48.77
3FZA,microbatch under oil,293.15,7.5,"0.1M Na HEPES (pH 7.5), 25% PEG 1000, microbatch under oil, temperature 293.15K",2.05,40.14
4P0M,"VAPOR DIFFUSION, HANGING DROP",295,5.6,"PEG 5000, AMMONIUS SULFATE, SODIUM      CHLORIDE, TRIS, CITRATE",2.2,43.5
5BKF,,,,,,
5BKG,,,,,,
1YB0,,,,,2.64,53.04
2AR3,"VAPOR DIFFUSION, SITTING DROP",298,6.7,"0.6 M NaH2PO4, 1.0 M K2HPO4, 0.1 M acetate at pH 6.7, VAPOR DIFFUSION, SITTING DROP, temperature 298K",2.8,55
4PQH,VAPOR DIFFUSION,291,4.6,"30% (w/v) PEG4000, 200 mM ammonium acetate and 100 mM sodium acetate, pH 4.6, VAPOR DIFFUSION, temperature 291K",1.82,32.49
5AZB,"VAPOR DIFFUSION, HANGING DROP",293,,"Tris , CaCl2, and  PEG2000 MME",2.8,56.08
5LU3,"VAPOR DIFFUSION, HANGING DROP",293.15,,"1% (w/v) Jeffamine ED-2001, 0.1M HEPES pH7.5 and 1M Succinic acid pH7.0",2.71,49.58
6G7N,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"L-Na-Glutamate, Alanine (racemic), Glycine, Lysine HCl (racemic), Serine (racemic),
Sodium HEPES, MOPS (acid), PEG500MME, PEG20000.",2.18,43.45
6L2C,"VAPOR DIFFUSION, SITTING DROP",277,,"0.1 M HEPES pH 7.0, 2 M ammonium sulphate",2.93,58.08
6LEG,"VAPOR DIFFUSION, SITTING DROP",298,,"MgCl2, 0.1 M Tris-HCl, pH 8.5 and 21% PEG4K",2.4,48.68
6LEJ,"VAPOR DIFFUSION, SITTING DROP",298,,"0.2 M MgCl2, 0.1 M Tris-HCl, pH 8.5 and 21% PEG4K",2.41,48.86
6LEL,"VAPOR DIFFUSION, SITTING DROP",298,,"0.2 M MgCl2, 0.1 M Tris-HCl, pH 8.5 and 21% PEG4K",2.38,48.3
6LEM,"VAPOR DIFFUSION, SITTING DROP",298,,"0.2 M MgCl2, 0.1 M Tris-HCl, pH 8.5 and 21% PEG4K",2.43,49.4
7SUN,,,,,,
7BWN,"VAPOR DIFFUSION, SITTING DROP",298.15,5.5,"Bis-Tris, (NH4)2SO4",2.63,53.25
3EKH,"VAPOR DIFFUSION, HANGING DROP",298,8,"0.1 M Magnesium formate dihydrate, 15% w/v Polyethylene glycol 3,350, pH 8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",3.55,65.32
3SG5,"VAPOR DIFFUSION, SITTING DROP",293,6.5,"0.1 M Bis-Tris, pH 6.5, 2 M ammonium sulfate, VAPOR DIFFUSION, SITTING DROP, temperature 293K",1.94,36.61
7AMU,VAPOR DIFFUSION,293,11,Ammonium sulphate,2.1,41.36
3MMI,"VAPOR DIFFUSION, HANGING DROP",294,8.5,"100mM HEPES, 20% PEG 3350, 150mM HCO2Na, 10 mM K2Pt(CN)4, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 294K",2.36,47.82
3RHB,MICROBATCH,277,,"1.6 M ammonium sulfate, 500 mM lithium chloride, Microbatch, temperature 277K",1.86,34.03
4IR4,"VAPOR DIFFUSION, SITTING DROP",277.15,6.25,"32% Low Molecular-Weight PEG Smears, 0.1M MES pH 6.25 (Ligand soaking performed in low-molecular-weight PEG smears stabilizing solution), VAPOR DIFFUSION, SITTING DROP, temperature 277.15K",4.23,70.91
4IR5,"VAPOR DIFFUSION, SITTING DROP",277.15,6.5,"28% Low Molecular-Weight PEG Smears, 0.1M MES pH 6.5 (Ligand soaking performed in low-molecular-weight PEG smears stabilizing solution), VAPOR DIFFUSION, SITTING DROP, temperature 277.15K",4.19,70.63
4IR6,"VAPOR DIFFUSION, SITTING DROP",277.15,6.25,"28% Low Molecular-Weight PEG Smears, 0.1M MES pH 6.25 (Ligand soaking performed in low-molecular-weight PEG smears stabilizing solution), VAPOR DIFFUSION, SITTING DROP, temperature 277.15K",4.15,70.36
4PPR,"VAPOR DIFFUSION, HANGING DROP",291,7.23,"0.1 M NaCl, 0.1 M HEPES, 1.7 M ammonium sulfate, pH 7.23, VAPOR DIFFUSION, HANGING DROP, temperature 291K",2.1,41.3
4RVR,"VAPOR DIFFUSION, SITTING DROP",277.15,6.5,"28% Low Molecular-Weight PEG Smears, 0.1M MES pH 6.5 (Ligand soaking performed in low-molecular-weight PEG smears stabilizing solution) , VAPOR DIFFUSION, SITTING DROP, temperature 277.15K",4.27,71.23
5XG7,EVAPORATION,298,,PEG,2.1,41.32
5Y03,"VAPOR DIFFUSION, HANGING DROP",298,,PEG,2.12,41.85
5WTS,"VAPOR DIFFUSION, SITTING DROP",288,5.5,"0.2M sodium chloride, 0.1M Bis-Tris, 25% PEG3350",2.57,52.23
5WUA,,,,,,
4U5T,"VAPOR DIFFUSION, SITTING DROP",295,7.5,"0.2M ammonium phos., 20% PEG3350, 3% trimethylamine N-oxide",5.86,79.01
5K4X,"VAPOR DIFFUSION, HANGING DROP",292,,"100mM sodium acetate pH 5.5, 200mM calcium chloride, 8-14% iso-propanol",2.1,41.4
5K4Z,"VAPOR DIFFUSION, HANGING DROP",292,,"100mM sodium acetate pH 5.5, 200mM calcium chloride, 8-14% iso-propanol",2.12,41.94
6RMO,"VAPOR DIFFUSION, SITTING DROP",292,,"0.1 M Tris pH 8.5, 8% (w/v) PEG 8,000",2.73,54.92
6RN1,"VAPOR DIFFUSION, SITTING DROP",292,,"0.06M citric acid, 0.04M Bis-tris propane pH 4.1 and 16% PEG 3350",2.61,52.91
7EYF,,,,,,
7AMB,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"20% PEG 3350, 100 mM Tris pH 8.5, 20 mM NaCl",2.21,44
7AMF,"VAPOR DIFFUSION, HANGING DROP",293,8.5,"20% PEG 3350, 100 mM Tris pH 8.5, 20 mM NaCl",2.22,44.5
5C5X,"VAPOR DIFFUSION, HANGING DROP",281,7.9,"RESERVOIR SOLUTION (100MM TRIS-HCL
 PH7.9, 100MM NACL, 21% PEG400) MIXED WITH EACH OF 1,6-HEXANEDIOL
 (30%, V/V) AND 1,3-PROPANEDIOL (40%, V/V) AND MIXED WITH THE
 TEMPERATURE 281K",3.87,68.25
5DYE,"VAPOR DIFFUSION, HANGING DROP",281,7.9,"21% PEG 400, 0.1M Tris pH 7.9, 0.1 M NaCl, 3% 1,6 hexanediol and 4% 1,3-propanediol as additive to the drop only",3.9,68.45
6QUG,"VAPOR DIFFUSION, SITTING DROP",293,,"PEG550, PEG20,000, MOPS, HEPES, sodium Phosphate, sodium nitrate, ammonium sulphate",2.53,51.39
6W22,,,,,,
6W23,,,,,,
7RFP,,,,,,
7KS0,,,,,,
7KS3,,,,,,
3RHC,MICROBATCH,277,7.5,"0.1 M HEPES, 70 % MPD, pH 7.5, Microbatch, temperature 277K",2.81,56.24
4GPB,,,,,2.47,50.13
6W24,,,,,,
1NFQ,"VAPOR DIFFUSION, HANGING DROP",296,7.5,"ammonium sulfate, PEG400, HEPES, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 296K",2.47,49.82
2AG5,"VAPOR DIFFUSION, SITTING DROP",298,6.5,"Ammonium sulphate, Mes, PEG monomethylether 5000, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 298.0K",2.2,43
3VHS,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"28% PEG 400, 0.1M HEPES, 0.2M calcium chrolide, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293.0K",1.79,31.25
4CQH,,,4.6,"30% PEG 400, 100 MM SODIUM ACETATE PH 4.6",2.27,45.78
4TPS,"VAPOR DIFFUSION, HANGING DROP",291,,"100 mM HEPES pH 7.5, 200 mM NH4 acetate, 25 % (w/v) PEG 3350, 1% (v/v) DMF",1.98,38
5HJN,"VAPOR DIFFUSION, HANGING DROP",277,7,"PEG 3350, ammonium citrate tribasic",4.14,70.27
5HJQ,"VAPOR DIFFUSION, HANGING DROP",277,7,"PEG 1500, sucinate/phosphate/glycine",2.17,43.24
6RMD,"VAPOR DIFFUSION, SITTING DROP",292,,"0.1 M sodium malonate pH 5.0, 12% (w/v) PEG 3,350",3.27,62.43
1F4I,,,,,,
4ZVO,"VAPOR DIFFUSION, HANGING DROP",277,5.5,"300 mM diammonium citrate, 14% PEG 3350, 10 mM GuHCl",3.03,59.42
4ZVP,"VAPOR DIFFUSION, HANGING DROP",277,5,"300 mM diammonium citrate, 14% PEG 3350, 10 mM GuHCl, 20% glycerol",2.94,58.16
4ZVQ,"VAPOR DIFFUSION, HANGING DROP",277,5,"300 mM diammonium citrate, 14% PEG 3350, 10 mM GuHCl, 20% glycerol",2.95,58.29
4ZVR,"VAPOR DIFFUSION, HANGING DROP",277,5,"300 mM diammonium citrate, 14% PEG 3350, 10 mM GuHCl, 20% glycerol",3.01,59.16
4ZVS,"VAPOR DIFFUSION, HANGING DROP",277.15,5.6,"300 mM Diammonium Hydrogren Citrate, 14% PEG 3350, 10 mM Guanidinium Chloride, 10 mM Dithiotheritol",3.02,59.29
4ZVT,"VAPOR DIFFUSION, HANGING DROP",277.15,5.6,"300 mM Diammonium Hydrogen Citrate, 14% PEG 3350, 10 mM Guanidinium Chloride, 10 mM Dithiotheritol",3.03,59.38
4ZVU,"VAPOR DIFFUSION, HANGING DROP",277.15,5.6,"300 mM Diammonium Hydrogen Citrate, 14% PEG 3350, 10 mM Guanidinium Chloride, 10 mM Dithiotheritol",3.02,59.26
5FC8,"VAPOR DIFFUSION, HANGING DROP",296,7,"1 M sodium citrate, 10 mM DTT",3.71,66.84
6WR2,,,,,,
7V80,,,,,,
1DV0,,,,,,
4EEP,"VAPOR DIFFUSION, HANGING DROP",298,4.8,"37.5% MPEG 2K, 0.2 M imidazole malate, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.95,36.84
4EER,"VAPOR DIFFUSION, HANGING DROP",298,4.8,"37.5% MPEG 2K, 0.2 M imidazole malate, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.94,36.59
4EES,"VAPOR DIFFUSION, HANGING DROP",298,4.8,"37.5% MPEG 2K, 0.2 M imidazole malate, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",1.92,36.08
4EET,"VAPOR DIFFUSION, HANGING DROP",298,5.5,"25% PEG 3350, 5% PEG 400, 0.1M sodium acetate, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.11,41.63
4EEU,"VAPOR DIFFUSION, HANGING DROP",298,8.6,"25% MPEG 2K, 0.2 M imidazole malate, pH 8.6, VAPOR DIFFUSION, HANGING DROP, temperature 298K",2.02,39.25
4M48,"VAPOR DIFFUSION, HANGING DROP",277,9,"100 mM glycine, pH 9.0, 38% PEG350 MME, VAPOR DIFFUSION, HANGING DROP, temperature 277K",4.71,73.9
4XBU,"VAPOR DIFFUSION, HANGING DROP",298.15,8.5,"Tris-HCl, PEG 8000",2.5,50.77
6W1Z,,,,,,
6W20,,,,,,
6W21,,,,,,
7AA5,,,,,,
4XBR,IN CELL,310.15,,In cellulo growth,4.8,74.39
5D94,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1M Potassium thiocyanate, 30%(w/v) Polyethylene glycol monomethyl ether 2000",1.89,34.75
5XUY,"VAPOR DIFFUSION, HANGING DROP",293,,"0.1M HEPES (pH7.5), 0.2M MgCl2, 6-8% (w/v) PEG 3350",2.93,57.97
5XV3,"VAPOR DIFFUSION, HANGING DROP",293,,"0.1M HEPES (pH7.5), 0.2M MgCl2, 6-8% (w/v) PEG 3350",2.96,58.5
5XV4,"VAPOR DIFFUSION, HANGING DROP",293,,"0.1M HEPES (pH7.5), 0.2M MgCl2, 6-8% (w/v) PEG 3350",2.97,58.65
5XV6,"VAPOR DIFFUSION, HANGING DROP",293,,"0.1M HEPES (pH7.5), 0.2M MgCl2, 6-8% (w/v) PEG 3350",2.79,55.95
6WNK,"VAPOR DIFFUSION, HANGING DROP",277,6.2,"60mM sodium citrate (pH 6.2), 15% PEG-3350",2.62,52.99
2WUR,"VAPOR DIFFUSION, HANGING DROP",,8,"HANGING DROP VAPOR DIFFUSION: 2 UL PROTEIN (10 MG/ML IN 20 MM TRIS, PH 8.0) PLUS 2 UL RESERVOIR (40% ETHANOL, 10 % DIOXANE)",2,39
6UZ0,,,,,,
6UZ3,,,,,,
7K18,,,,,,
3THP,microbatch under oil,293,7,"30% PEG 3350 and 0.15 M D/L malic acid, 2.8 mM MnCl2, and 8.6 mM 2-oxyglutarate., pH 7, microbatch under oil, temperature 293K",2.54,51.61
3THT,microbatch under oil,293,5.6,"2.8 mM Mn2Cl and 8.6 mM 2OG and a precipitant containing 28.5-30.5% (w/v) PEG 4K, 15% (v/v) glycerol, 170 mM NH4(CH3COO), 85 mM Na-citrate, pH 5.6, microbatch under oil, temperature 293K",2.41,49.06
6HR1,VAPOR DIFFUSION,293,7.8,"24% w/v PEG 3350
0.2 M di-Ammonium tartrate 
10% v/v Glycerol",2.67,54.01
6TIT,"VAPOR DIFFUSION, HANGING DROP",293,7.5,"8% PEG8000, 0.15M calcium acetate, 0.15M HEPES pH7.5",4.37,
6RMG,,,,,,
6TA7,"VAPOR DIFFUSION, SITTING DROP",298,,"0.2M Sodium chloride, 0.1M Tris 8.0, 20% w/v PEG 4000 of the Proplex crystallization screen (Molecular Dimensions)",2.24,45
2LZP,,,,,,
2LZQ,,,,,,
2MKB,,,,,,
6MKS,,,,,,
6WQK,,,,,,
5K9C,"VAPOR DIFFUSION, SITTING DROP",298,4.8,"0.1 M sodium acetate trihydrate pH 4.8
1.9 M ammonium sulfate
30% (v/v) glycerol",3.43,64.2
5K9D,"VAPOR DIFFUSION, SITTING DROP",298,4.8,"0.1 M sodium acetate trihydrate pH 4.8
1.8 M ammonium sulfate
30% (v/v) glycerol",3.46,64.5
7BYL,,,,,,
7BYM,,,,,,
7BYN,,,,,,
5IH4,"VAPOR DIFFUSION, SITTING DROP",277.15,9.5,"0.1 M Li2SO4, 0.7 - 0.8 M Na-K tartrate, 0.1 M CHES (pH 9.5)",2.79,55.95
5IH5,"VAPOR DIFFUSION, HANGING DROP",277,,"0.1 M Li2SO4, 0.7 - 0.8 M Na-K tartrate, 0.1 M CHES",2.71,54.69
5IH6,"VAPOR DIFFUSION, SITTING DROP",277,,"0.1 M Li2SO4, 0.7 - 0.8 M Na-K tartrate, 0.1 M CHES",2.79,55.99
6OAM,"VAPOR DIFFUSION, HANGING DROP",298,7.5,"0.1 M HEPES sodium pH 7.5, 0.8 M sodium phosphate monobasic monohydrate, 0.8 M sodium phosphate monobasic, 0.1M Cesium chloride",2.47,50.3
3ZU7,,,8.5,"100 MM TRIS-HOAC (PH 8.5), 20% PEG4K, 5 MM CDCL2",2.56,51.6
3ZUV,,,7.5,"100 MM TRIS-HOAC (PH 7.5), 2 M SODIUM FORMATE",4.01,69.07
6T90,,,,,,
6YOV,,,,,,
4WFC,"VAPOR DIFFUSION, SITTING DROP",293.15,5.8,"1.8 M ammonium sulfate, 125 mM sodium chloride, 100 mM sodium cacodylate pH 5.8",2.98,58.66
5HHG,"VAPOR DIFFUSION, HANGING DROP",296,7,"1.5M Ammonium Sulfate, 0.1M Sodium HEPES",3.5,64.83
6HOH,"VAPOR DIFFUSION, SITTING DROP",293,,"20% PEG 3350, 200 mM magnesium formate",2.4,48.77
5OYL,"VAPOR DIFFUSION, HANGING DROP",293,,"29% PEG 3000, 100 mM Tris-HCl pH 8.5, 200 mM LiSO4",4.44,72.32
7EDJ,,,,,,
7EEB,,,,,,
7V7Z,,,,,,
7V81,,,,,,
7V82,,,,,,
7V83,,,,,,
7V84,,,,,,
7V85,,,,,,
7V86,,,,,,
7V87,,,,,,
7V88,,,,,,
7V89,,,,,,
7V8A,,,,,,
7V8B,,,,,,
4WFD,"VAPOR DIFFUSION, SITTING DROP",293.15,7.5,"12% PEG 1000, 0.1M imidazole pH 7.5, 0.125 M calcium acetate, 5mM yttrium chloride",2.29,46.22
6MGH,"VAPOR DIFFUSION, HANGING DROP",293,4,"0.1M Na Acetate pH 4.0, 10mM EDTA, 10% isopropanol, 22% PEG 6000",2.53,51.38
7PHR,,,,,,
6HOI,"VAPOR DIFFUSION, SITTING DROP",293,,"0.1M sodium acetate, 0.1M Hepes pH 7.5, 12% PEG 4000",1.94,36.65
7U8G,,,,,,
2UYE,,,6.5,0.1M IMIDAZOL PH 6.5 0.2M KSCN 0.9M NA ACETATE,4.7,73.61
5JG4,"VAPOR DIFFUSION, SITTING DROP",277,4,"0.1 M citrate pH 4.0, 10% PEG 6000",3.02,59.3
6G7Q,"VAPOR DIFFUSION, SITTING DROP",294,7.5,"PEG500MME, PEG20000, Sodium formate, Ammonium acetate, Sodium citrate tribasic dihydrate, Sodium potassium tartrate tetrahydrate, Sodium oxamate, Sodium HEPES, MOPS (acid).",2.19,43.81
8A43,,,,,,
2UYF,,,6.5,0.1M IMIDAZOL PH 6.5 0.2M KSCN 1.2M NA ACETATE,4.67,73.44
2XVY,,,8.5,"CRYSTALLIZATION SOLUTION: 100MM TRIS-HCL PH8.5, 2M AMMONIUM SULFATE. THE DROP WAS MADE BY ADDING 1UL OF PROTEIN PLUS 1.8UL OF CRYSTALLIZATION SOLUTION AND 0.2UL OF 2MM SIROHYDROCHLORIN AND 0.2UL OF COBALT CHLORIDE IN AEROBIC CONDITIONS.",3.6,65.9
3EOZ,"VAPOR DIFFUSION, HANGING DROP",,,"VAPOR DIFFUSION, HANGING DROP",2.75,55.23
4IR3,"VAPOR DIFFUSION, SITTING DROP",277.15,7,"18% PEG 1000, 17% glycerol, 0.1M HEPES pH 7.0 (Ligand soaking performed in low-molecular-weight PEG smears stabilizing solution), VAPOR DIFFUSION, SITTING DROP, temperature 277.15K",4.19,70.67
5XG8,"VAPOR DIFFUSION, HANGING DROP",298,,PEG,2.12,41.93
6HOJ,"VAPOR DIFFUSION, SITTING DROP",293,,"15% PEG 4000,  50 mM Bicine pH 8.8",2.3,46.51
6HOK,"VAPOR DIFFUSION, SITTING DROP",293,,"1.6 M ammonium sulfate, 100 mM TRIS pH 8.5, 10 % Glycerol",3.89,68.37
6RME,"VAPOR DIFFUSION, SITTING DROP",292,,"0.1 M HEPES pH 7.5, 0.2 M calcium acetate, 10% (w/v) PEG 8000 , 5 mM IMP",2.84,56.65
6RMW,"VAPOR DIFFUSION, SITTING DROP",292,,"0.1 M HEPES pH 7.5, 0.2 M calcium acetate, 10% (w/v) PEG 8000 by co-crystallizing the protein with 5 mM of IMP",3,58.97
6RNH,"VAPOR DIFFUSION, SITTING DROP",292,,"2M ammonium sulfate, 0.1M Bis-tris pH 5.5 and 0.01M",3.71,66.86
3WUP,"VAPOR DIFFUSION, SITTING DROP",293,7.5,"4.3M sodium chloride, 0.1M HEPES , pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",2.25,45.44
7PCA,VAPOR DIFFUSION,295,7.5,"46% ETOH, 0.25% v/v Dichloromethane",1.92,36
7PCZ,VAPOR DIFFUSION,295,7.5,"10% polyethylenglycol (PEG) 6000, 30% ethanol and 100 mM natriumacetate",2.19,43.85
6RQR,"VAPOR DIFFUSION, HANGING DROP",288,,"1.65 M ammonium sulphate, 100 mM tri-sodium citrate pH 5.6",2.51,50.98
6HOL,VAPOR DIFFUSION,289,,"1M LiCl, 0.1M HEPES pH7, 20% PEG 6000",1.96,37.37
6HOG,"VAPOR DIFFUSION, SITTING DROP",293,,"50 mM HEPES pH 7.1, 40% PEG 600",2.22,44.48
6V00,,,,,,
6V01,,,,,,
7LYH,"VAPOR DIFFUSION, HANGING DROP",293,,"20% PEG 3350, 0.2 M NaF",1.98,38.01
7LYI,"VAPOR DIFFUSION, HANGING DROP",293,,"20% PEG 3350, 0.2 M NaF",2.01,38.82
